Correlation,RUCC,Year,Metric,Pollutant
0.6622303286995342,1.0,2018,NO2,NO2
0.6387733574895565,1.0,2019,NO2,NO2
0.562449544148006,1.0,2020,NO2,NO2
0.6182243254885154,1.0,2021,NO2,NO2
0.6236360276525605,1.0,2022,NO2,NO2
0.5272055249260106,1.0,2023,NO2,NO2
0.8263575459112502,2.0,2018,NO2,NO2
0.7779677575821417,2.0,2019,NO2,NO2
0.7511202886052164,2.0,2020,NO2,NO2
0.7507719154600286,2.0,2021,NO2,NO2
0.7394944700457898,2.0,2022,NO2,NO2
0.7167596491833258,2.0,2023,NO2,NO2
0.6620087902054008,3.0,2018,NO2,NO2
0.6633151602373258,3.0,2019,NO2,NO2
0.6259972538756795,3.0,2020,NO2,NO2
0.5275963879319333,3.0,2021,NO2,NO2
0.5530474408998353,3.0,2022,NO2,NO2
0.5955145012189761,3.0,2023,NO2,NO2
,5.0,2018,NO2,NO2
,5.0,2019,NO2,NO2
,5.0,2020,NO2,NO2
,5.0,2021,NO2,NO2
,5.0,2022,NO2,NO2
,5.0,2023,NO2,NO2
0.3297585103178969,1.0,2018,CO,CO
0.14365016164894037,1.0,2019,CO,CO
0.04870731485428709,1.0,2020,CO,CO
0.10902326866400289,1.0,2021,CO,CO
0.14563994059464264,1.0,2022,CO,CO
0.0016850807315639746,1.0,2023,CO,CO
0.39189892068431914,2.0,2018,CO,CO
0.728554544010963,2.0,2019,CO,CO
0.9305907889587689,2.0,2020,CO,CO
0.9268809177437245,2.0,2021,CO,CO
-0.8482479724000876,2.0,2022,CO,CO
0.34024397045110677,2.0,2023,CO,CO
0.8086770012757112,3.0,2018,CO,CO
0.7654584436655373,3.0,2019,CO,CO
0.8711997428689598,3.0,2020,CO,CO
0.6984375367375314,3.0,2021,CO,CO
0.5065131320203168,3.0,2022,CO,CO
0.5830462452330013,3.0,2023,CO,CO
,5.0,2018,CO,CO
,5.0,2019,CO,CO
,5.0,2020,CO,CO
,5.0,2021,CO,CO
,5.0,2022,CO,CO
,5.0,2023,CO,CO
-0.02009605532391348,1.0,2018,PM2.5,PM2.5
0.3701078072206721,1.0,2019,PM2.5,PM2.5
0.14088130505554877,1.0,2020,PM2.5,PM2.5
0.28392075087568114,1.0,2021,PM2.5,PM2.5
0.5558365074108091,1.0,2022,PM2.5,PM2.5
0.17170006727346396,1.0,2023,PM2.5,PM2.5
0.6396979772128729,2.0,2018,PM2.5,PM2.5
0.4692384977935689,2.0,2019,PM2.5,PM2.5
0.7416514122027601,2.0,2020,PM2.5,PM2.5
0.6813103858385335,2.0,2021,PM2.5,PM2.5
0.41164366864095747,2.0,2022,PM2.5,PM2.5
0.01427753910708724,2.0,2023,PM2.5,PM2.5
0.9866160015376239,3.0,2018,PM2.5,PM2.5
-0.5233310749519668,3.0,2019,PM2.5,PM2.5
0.9823255557605867,3.0,2020,PM2.5,PM2.5
0.48974854242891747,3.0,2021,PM2.5,PM2.5
-0.43452957417158833,3.0,2022,PM2.5,PM2.5
-0.9508334080900027,3.0,2023,PM2.5,PM2.5
,5.0,2018,PM2.5,PM2.5
,5.0,2019,PM2.5,PM2.5
,5.0,2020,PM2.5,PM2.5
,5.0,2021,PM2.5,PM2.5
,5.0,2022,PM2.5,PM2.5
,5.0,2023,PM2.5,PM2.5
