State,Year,Population,Max AQI,RUCC,vmt,VMT_Correlation
California,2018,27899,230,6.0,340885519.5,-0.24845261997890983
California,2018,136502,163,5.0,783064623.5,
California,2018,181062,286,3.0,1321891712.0,0.9787294868637743
California,2018,893618,190,2.0,3103589047.0,1.0
California,2018,64394,208,4.0,209883650.5,-0.4525427657343702
California,2018,10061533,201,1.0,40923067073.0,0.999662997450859
California,2018,18830,159,9.0,0.0,
California,2018,43624,196,7.0,558535311.5,
California,2018,12598,191,8.0,81253215.75,0.7200030931418596
Nebraska,2018,184106,93,2.0,569887410.1,1.0
New York,2018,37309,108,6.0,261032472.9,-0.24845261997890983
New York,2018,4453,97,8.0,41477764.15,0.7200030931418596
New York,2018,112266,105,3.0,512619037.8,0.9787294868637743
Pennsylvania,2018,65411,143,1.0,135048153.1,0.999662997450859
Pennsylvania,2018,122567,132,3.0,539083585.5,0.9787294868637743
Pennsylvania,2018,84578,105,4.0,270797062.4,-0.4525427657343702
Pennsylvania,2018,73951,90,6.0,468740329.2,-0.24845261997890983
Pennsylvania,2018,40725,97,8.0,69919035.0,0.7200030931418596
Texas,2018,2629764,161,1.0,11826623292.0,0.999662997450859
Texas,2018,60249,133,4.0,181061841.6,-0.4525427657343702
Texas,2018,57970,100,3.0,255302783.2,0.9787294868637743
California,2019,28445,86,6.0,343011093.3,-0.1012235226054889
California,2019,135839,65,5.0,751788908.6,
California,2019,180439,185,3.0,1367019360.0,0.8598203210503591
California,2019,898898,548,2.0,3107218888.0,1.0
California,2019,64463,50,4.0,287478106.3,-0.8350733790997766
California,2019,10011602,201,1.0,40287877191.0,0.953222554724765
California,2019,19052,138,9.0,0.0,
California,2019,43663,161,7.0,554948226.5,1.0
California,2019,12337,113,8.0,83075460.0,0.8653496783011168
Nebraska,2019,186893,80,2.0,566793881.8,1.0
New York,2019,36987,80,6.0,252141824.8,-0.1012235226054889
New York,2019,50102,49,7.0,173076973.9,1.0
New York,2019,4438,54,8.0,44596758.5,0.8653496783011168
New York,2019,110143,64,3.0,505604774.4,0.8598203210503591
Pennsylvania,2019,64699,71,1.0,142364107.3,0.953222554724765
Pennsylvania,2019,121942,92,3.0,541171940.3,0.8598203210503591
Pennsylvania,2019,84022,93,4.0,292159026.8,-0.8350733790997766
Pennsylvania,2019,73442,80,6.0,472759734.7,-0.1012235226054889
Pennsylvania,2019,40665,74,8.0,75665930.8,0.8653496783011168
Texas,2019,2635603,143,1.0,11523452066.0,0.953222554724765
Texas,2019,61762,133,4.0,183377087.7,-0.8350733790997766
Texas,2019,58357,104,3.0,259485519.0,0.8598203210503591
California,2020,28904,197,6.0,320714732.2,0.06826618346484915
California,2020,136262,109,5.0,746368859.9,
California,2020,179612,166,3.0,1332438518.0,0.48512062397950995
California,2020,905910,267,2.0,3068033298.0,0.9999999999999998
California,2020,68199,180,4.0,291507427.1,0.8474233320136187
California,2020,9992813,235,1.0,37021042422.0,0.9840938115850298
California,2020,19746,469,9.0,0.0,
California,2020,43995,359,7.0,520124642.3,
California,2020,16091,193,8.0,79373644.08,0.8144029740714358
Nebraska,2020,191167,149,2.0,484488858.3,0.9999999999999998
New York,2020,37275,80,6.0,186895349.0,0.06826618346484915
New York,2020,5079,54,8.0,38811064.56,0.8144029740714358
New York,2020,116069,90,3.0,367208264.8,0.48512062397950995
Pennsylvania,2020,65470,122,1.0,124594031.1,0.9840938115850298
Pennsylvania,2020,122666,87,3.0,417286639.4,0.48512062397950995
Pennsylvania,2020,83151,112,4.0,251680730.8,0.8474233320136187
Pennsylvania,2020,74019,71,6.0,404374594.9,0.06826618346484915
Pennsylvania,2020,41025,79,8.0,68625797.88,0.8144029740714358
Texas,2020,2610112,135,1.0,10764144411.0,0.9840938115850298
Texas,2020,62057,100,4.0,176512942.8,0.8474233320136187
Texas,2020,57875,160,3.0,217110757.1,0.48512062397950995
