State,RUCC,Counties 1
CA,1,Los Angeles
CA,2,Kern
CA,3,Imperial
CA,4,Lake
CA,5,Humboldt
CA,6,Glenn
CA,7,Siskiyou
CA,8,Trinity
CA,9,Plumas
NY,1,Queens
NY,2,Dutchess
NY,3,Jefferson
NY,4,Clinton
NY,5,
NY,6,Essex
NY,7,Franklin
NY,8,Hamilton
NY,9,
NE,1,
NE,2,Sarpy
NE,3,Dakota
NE,4,Adams
NE,5,Lincoln
NE,6,York
NE,7,Red Willow
NE,8,Butler
NE,9,Hitchcock
PA,1,Armstrong
PA,2,Carbon
PA,3,Blair
PA,4,Indiana
PA,5,
PA,6,Somerset
PA,7,Snyder
PA,8,Tioga
PA,9,Potter
TX,1,Dallas
TX,2,Crosby
TX,3,Maverick
TX,4,Hood
TX,5,Brown
TX,6,Terry
TX,7,Shelby
TX,8,Coke
TX,9,Cottle
