FIPS,State,County,State Code,County Code,Year,RUCC,Population,Max AQI,90th Percentile AQI,Median AQI
06021,California,Glenn,06,021,2018,6.0,27899,230,69,36
06023,California,Humboldt,06,023,2018,5.0,136502,163,53,34
06025,California,Imperial,06,025,2018,3.0,181062,286,108,62
06029,California,Kern,06,029,2018,2.0,893618,190,142,84
06033,California,Lake,06,033,2018,4.0,64394,208,43,33
06037,California,Los Angeles,06,037,2018,1.0,10061533,201,130,77
06063,California,Plumas,06,063,2018,9.0,18830,159,84,35
06093,California,Siskiyou,06,093,2018,7.0,43624,196,119,41
06105,California,Trinity,06,105,2018,8.0,12598,191,79,44
31153,Nebraska,Sarpy,31,153,2018,2.0,184106,93,56,35
36027,New York,Dutchess,36,027,2018,2.0,293814,156,46,31
36031,New York,Essex,36,031,2018,6.0,37309,108,54,41
36041,New York,Hamilton,36,041,2018,8.0,4453,97,45,33
36045,New York,Jefferson,36,045,2018,3.0,112266,105,47,33
42005,Pennsylvania,Armstrong,42,005,2018,1.0,65411,143,58,38
42013,Pennsylvania,Blair,42,013,2018,3.0,122567,132,59,38
42063,Pennsylvania,Indiana,42,063,2018,4.0,84578,105,50,35
42111,Pennsylvania,Somerset,42,111,2018,6.0,73951,90,47,33
42117,Pennsylvania,Tioga,42,117,2018,8.0,40725,97,52,35
48113,Texas,Dallas,48,113,2018,1.0,2629764,161,77,44
48221,Texas,Hood,48,221,2018,4.0,60249,133,54,33
48323,Texas,Maverick,48,323,2018,3.0,57970,100,54,28
06021,California,Glenn,06,021,2019,6.0,28445,86,55,40
06023,California,Humboldt,06,023,2019,5.0,135839,65,40,27
06025,California,Imperial,06,025,2019,3.0,180439,185,93,58
06029,California,Kern,06,029,2019,2.0,898898,548,122,67
06033,California,Lake,06,033,2019,4.0,64463,50,41,31
06037,California,Los Angeles,06,037,2019,1.0,10011602,201,136,71
06063,California,Plumas,06,063,2019,9.0,19052,138,68,25
06093,California,Siskiyou,06,093,2019,7.0,43663,161,49,36
06105,California,Trinity,06,105,2019,8.0,12337,113,49,18
31153,Nebraska,Sarpy,31,153,2019,2.0,186893,80,55,29
36027,New York,Dutchess,36,027,2019,2.0,293934,90,45,34
36031,New York,Essex,36,031,2019,6.0,36987,80,50,42
36033,New York,Franklin,36,033,2019,7.0,50102,49,42,31
36041,New York,Hamilton,36,041,2019,8.0,4438,54,44,35
36045,New York,Jefferson,36,045,2019,3.0,110143,64,46,35
42005,Pennsylvania,Armstrong,42,005,2019,1.0,64699,71,51,37
42013,Pennsylvania,Blair,42,013,2019,3.0,121942,92,60,41
42063,Pennsylvania,Indiana,42,063,2019,4.0,84022,93,49,38
42111,Pennsylvania,Somerset,42,111,2019,6.0,73442,80,48,36
42117,Pennsylvania,Tioga,42,117,2019,8.0,40665,74,47,36
48113,Texas,Dallas,48,113,2019,1.0,2635603,143,72,45
48221,Texas,Hood,48,221,2019,4.0,61762,133,50,35
48323,Texas,Maverick,48,323,2019,3.0,58357,104,54,25
06021,California,Glenn,06,021,2020,6.0,28904,197,82,43
06023,California,Humboldt,06,023,2020,5.0,136262,109,44,29
06025,California,Imperial,06,025,2020,3.0,179612,166,97,58
06029,California,Kern,06,029,2020,2.0,905910,267,140,81
06033,California,Lake,06,033,2020,4.0,68199,180,43,32
06037,California,Los Angeles,06,037,2020,1.0,9992813,235,165,83
06063,California,Plumas,06,063,2020,9.0,19746,469,146,49
06093,California,Siskiyou,06,093,2020,7.0,43995,359,61,36
06105,California,Trinity,06,105,2020,8.0,16091,193,79,27
31153,Nebraska,Sarpy,31,153,2020,2.0,191167,149,52,29
36027,New York,Dutchess,36,027,2020,2.0,295901,87,45,35
36031,New York,Essex,36,031,2020,6.0,37275,80,47,38
36041,New York,Hamilton,36,041,2020,8.0,5079,54,44,34
36045,New York,Jefferson,36,045,2020,3.0,116069,90,44,33
42005,Pennsylvania,Armstrong,42,005,2020,1.0,65470,122,54,39
42013,Pennsylvania,Blair,42,013,2020,3.0,122666,87,54,38
42063,Pennsylvania,Indiana,42,063,2020,4.0,83151,112,48,36
42111,Pennsylvania,Somerset,42,111,2020,6.0,74019,71,44,34
42117,Pennsylvania,Tioga,42,117,2020,8.0,41025,79,47,37
48113,Texas,Dallas,48,113,2020,1.0,2610112,135,67,42
48221,Texas,Hood,48,221,2020,4.0,62057,100,48,33
48323,Texas,Maverick,48,323,2020,3.0,57875,160,56,27
06021,California,Glenn,06,021,2021,6.0,28718,181,61,39
06023,California,Humboldt,06,023,2021,5.0,134897,60,40,28
06025,California,Imperial,06,025,2021,3.0,179138,442,97,58
06029,California,Kern,06,029,2021,2.0,912709,316,147,84
06033,California,Lake,06,033,2021,4.0,68645,156,43,33
06037,California,Los Angeles,06,037,2021,1.0,9809462,281,143,77
06063,California,Plumas,06,063,2021,9.0,19958,436,165,63
06093,California,Siskiyou,06,093,2021,7.0,44139,192,84,40
06105,California,Trinity,06,105,2021,8.0,16082,622,164,29
31153,Nebraska,Sarpy,31,153,2021,2.0,193826,120,56,31
36027,New York,Dutchess,36,027,2021,2.0,298776,129,46,34
36031,New York,Essex,36,031,2021,6.0,37233,101,58,40
36041,New York,Hamilton,36,041,2021,8.0,5122,100,44,33
36045,New York,Jefferson,36,045,2021,3.0,116902,97,46,32
42005,Pennsylvania,Armstrong,42,005,2021,1.0,65212,108,67,42
42013,Pennsylvania,Blair,42,013,2021,3.0,122150,120,59,38
42063,Pennsylvania,Indiana,42,063,2021,4.0,83201,122,60,39
42111,Pennsylvania,Somerset,42,111,2021,6.0,72989,90,47,34
42117,Pennsylvania,Tioga,42,117,2021,8.0,41308,131,54,36
48113,Texas,Dallas,48,113,2021,1.0,2588235,174,70,42
48221,Texas,Hood,48,221,2021,4.0,64293,122,49,35
48323,Texas,Maverick,48,323,2021,3.0,57683,87,56,28
06021,California,Glenn,06,021,2022,6.0,28360,104,60,41
06023,California,Humboldt,06,023,2022,5.0,134944,70,33,24
06025,California,Imperial,06,025,2022,3.0,178940,762,106,58
06029,California,Kern,06,029,2022,2.0,916751,289,136,80
06033,California,Lake,06,033,2022,4.0,68172,73,43,32
06037,California,Los Angeles,06,037,2022,1.0,9719765,209,140,72
06063,California,Plumas,06,063,2022,9.0,19443,168,97,48
06093,California,Siskiyou,06,093,2022,7.0,43786,353,57,39
06105,California,Trinity,06,105,2022,8.0,15778,296,68,26
31153,Nebraska,Sarpy,31,153,2022,2.0,196427,93,46,24
36027,New York,Dutchess,36,027,2022,2.0,297609,97,48,35
36031,New York,Essex,36,031,2022,6.0,36763,115,48,40
36041,New York,Hamilton,36,041,2022,8.0,5121,71,43,34
36045,New York,Jefferson,36,045,2022,3.0,115461,84,43,32
42005,Pennsylvania,Armstrong,42,005,2022,1.0,64704,122,59,41
42013,Pennsylvania,Blair,42,013,2022,3.0,120734,97,54,39
42063,Pennsylvania,Indiana,42,063,2022,4.0,83064,105,51,38
42111,Pennsylvania,Somerset,42,111,2022,6.0,72629,90,45,34
42117,Pennsylvania,Tioga,42,117,2022,8.0,40967,77,48,37
48113,Texas,Dallas,48,113,2022,1.0,2601993,148,74,45
48221,Texas,Hood,48,221,2022,4.0,66394,150,64,38
48323,Texas,Maverick,48,323,2022,3.0,57628,107,57,27
06021,California,Glenn,06,021,2023,6.0,28129,97,51,38
06023,California,Humboldt,06,023,2023,5.0,133985,274,58,31
06025,California,Imperial,06,025,2023,3.0,179057,505,98,55
06029,California,Kern,06,029,2023,2.0,913820,111,60,42
06033,California,Lake,06,033,2023,4.0,67878,43,40,33
06037,California,Los Angeles,06,037,2023,1.0,9663345,192,100,58
06063,California,Plumas,06,063,2023,9.0,19131,142,81,41
06093,California,Siskiyou,06,093,2023,7.0,42905,60,50,38
06105,California,Trinity,06,105,2023,8.0,15670,64,53,18
31153,Nebraska,Sarpy,31,153,2023,2.0,199886,152,57,32
36027,New York,Dutchess,36,027,2023,2.0,297150,108,49,36
36031,New York,Essex,36,031,2023,6.0,36775,159,65,44
36041,New York,Hamilton,36,041,2023,8.0,5082,90,49,38
36045,New York,Jefferson,36,045,2023,3.0,114787,101,47,36
42005,Pennsylvania,Armstrong,42,005,2023,1.0,64074,192,77,44
42013,Pennsylvania,Blair,42,013,2023,3.0,120273,193,77,44
42063,Pennsylvania,Indiana,42,063,2023,4.0,83094,197,72,43
42111,Pennsylvania,Somerset,42,111,2023,6.0,72197,93,58,41
42117,Pennsylvania,Tioga,42,117,2023,8.0,40840,100,74,44
48113,Texas,Dallas,48,113,2023,1.0,2606358,172,74,47
48221,Texas,Hood,48,221,2023,4.0,67774,105,58,38
48323,Texas,Maverick,48,323,2023,3.0,57762,101,62,28
